iter	F1	Logloss
0	0.639224036	0.6885160646
1	0.66444888	0.6839177943
2	0.7044946105	0.6803313121
3	0.7095073991	0.6758944675
4	0.7103182647	0.6723196727
5	0.7105263158	0.669319803
6	0.7110751164	0.666021489
7	0.7138224564	0.6632096448
8	0.7142276423	0.6600835078
9	0.7131280389	0.6576142002
10	0.7168356998	0.6552207099
11	0.716904277	0.6526491569
12	0.7201788254	0.6502478195
13	0.7263157895	0.6486250411
14	0.7298827335	0.6464589133
15	0.729254997	0.6447376018
16	0.727529792	0.6426687244
17	0.7276406313	0.6409088658
18	0.7281926735	0.6394018511
19	0.7301779935	0.6376708703
20	0.7305050505	0.6361603633
21	0.7295928702	0.634558314
22	0.7304734925	0.6331682098
23	0.7298501418	0.6319268773
24	0.7306990881	0.630679309
25	0.7293019481	0.6294411885
26	0.7283049473	0.6279444654
27	0.7304030788	0.6268342358
28	0.7315096251	0.6258729485
29	0.7312918272	0.6246297732
30	0.7337780473	0.6234988327
31	0.7341823327	0.6221479447
32	0.7349251315	0.6212598881
33	0.7375227319	0.6200221228
34	0.7367995145	0.6188249773
35	0.7359902893	0.617830863
36	0.7367995145	0.617163398
37	0.7372262774	0.6162399403
38	0.737269223	0.6153234993
39	0.7370558376	0.6145349587
40	0.7379310345	0.6136659844
41	0.7377615275	0.613068713
42	0.7381677839	0.6120541561
43	0.7385554425	0.6107349146
44	0.7416141492	0.6099965457
45	0.7437043054	0.6092770173
46	0.7448751776	0.6084040887
47	0.7468997764	0.6075369416
48	0.7450101833	0.6068581789
49	0.7467968273	0.6061142731
50	0.7474583164	0.6053123712
51	0.7462383083	0.6045745502
52	0.7457282343	0.603816421
53	0.7446592065	0.60318996
54	0.7439298102	0.6023293807
55	0.7436263512	0.6017312802
56	0.7449062755	0.6009602721
57	0.7459216966	0.6001319169
58	0.7465851172	0.5994090958
59	0.7466829965	0.5988261524
60	0.7464759959	0.5982207728
61	0.7466285247	0.5976842837
62	0.7477514309	0.5973288107
63	0.7458043389	0.5966120752
64	0.747185261	0.5959305348
65	0.7465626924	0.5950815797
66	0.7480008202	0.5944562131
67	0.7482073346	0.59347178
68	0.7484135107	0.592778596
69	0.7506658472	0.5920507627
70	0.7515400411	0.5911680693
71	0.7517963457	0.590667401
72	0.7519507187	0.5899362468
73	0.7521051551	0.5895238718
74	0.7510791367	0.5887202703
75	0.7522596549	0.5880855882
76	0.7530331071	0.5874313829
77	0.7528782895	0.5869812741
78	0.7547711882	0.5863966145
79	0.7549261084	0.5859087557
80	0.7548798028	0.5852916813
81	0.7545772475	0.5846873362
82	0.7546391753	0.5839016928
83	0.7556654306	0.5831037862
84	0.7562332578	0.5824890752
85	0.7556747833	0.5818605602
86	0.7573256294	0.581424391
87	0.7586633663	0.5808983638
88	0.7587628866	0.5805134895
89	0.758677686	0.5798595897
90	0.7594884488	0.5792231104
91	0.7607843137	0.5784983633
92	0.7606273215	0.5779863933
93	0.7611386139	0.577534408
94	0.7606273215	0.577157965
95	0.7600165221	0.5764065939
96	0.7616099071	0.5759516855
97	0.7605866556	0.5754458664
98	0.7598759049	0.5748608598
99	0.7602072539	0.5742819536
100	0.7616483744	0.5736909041
101	0.7622797927	0.5729123592
102	0.7635233161	0.5722336705
103	0.7623782888	0.5715433443
104	0.7641333609	0.5709539166
