iter	Passed	Remaining
0	48	14433
1	48	7270
2	49	4870
3	49	3664
4	50	2971
5	50	2495
6	51	2151
7	51	1891
8	52	1688
9	52	1528
10	53	1395
11	53	1284
12	58	1299
13	59	1212
14	66	1255
15	66	1182
16	67	1116
17	67	1056
18	67	1004
19	68	959
20	69	918
21	69	877
22	69	841
23	70	807
24	70	776
25	70	748
26	71	721
27	71	696
28	72	673
29	72	651
30	72	631
31	73	613
32	73	595
33	73	578
34	74	562
35	74	547
36	74	532
37	75	519
38	75	508
39	76	496
40	76	485
41	77	473
42	77	463
43	77	452
44	78	443
45	78	433
46	78	424
47	79	415
48	79	407
49	80	400
50	80	392
51	80	385
52	81	378
53	81	371
54	81	365
55	82	358
56	82	352
57	83	346
58	83	341
59	84	336
60	84	330
61	84	325
62	85	321
63	85	316
64	86	311
65	86	307
66	87	302
67	87	298
68	87	294
69	88	289
70	88	285
71	88	281
72	89	277
73	89	273
74	90	270
75	90	267
76	91	263
77	91	260
78	91	257
79	92	253
80	92	250
81	93	247
82	93	244
83	93	241
84	94	238
85	94	235
86	95	232
87	95	229
88	95	227
89	96	224
90	96	221
91	96	218
92	97	216
93	97	213
94	98	211
95	98	209
96	98	207
97	100	206
98	100	204
99	100	201
100	101	199
101	101	197
102	102	195
103	102	193
104	102	191
105	103	189
106	103	187
107	104	185
108	104	183
109	105	181
110	105	180
111	106	178
112	106	176
113	107	174
114	107	172
115	108	171
116	108	170
117	110	170
118	110	168
119	111	166
120	111	165
121	112	163
122	112	161
123	112	160
124	113	158
125	113	157
126	114	155
127	114	154
128	115	152
129	115	151
130	115	149
131	116	148
132	116	146
133	117	145
134	118	144
135	118	143
136	119	142
137	119	140
138	120	139
139	120	137
140	121	136
141	121	135
142	121	133
143	122	132
144	122	130
145	122	129
146	123	128
147	123	127
148	124	125
149	124	124
150	124	123
151	125	122
152	126	121
153	126	120
154	127	119
155	127	117
156	128	116
157	128	115
158	129	114
159	129	113
160	129	112
161	135	115
162	136	114
163	136	113
164	137	112
165	137	111
166	138	110
167	138	108
168	139	107
169	139	106
170	139	105
171	140	104
172	140	103
173	141	102
174	141	101
175	141	99
176	142	98
177	142	97
178	142	96
179	143	95
180	143	94
181	144	93
182	144	92
183	145	91
184	145	90
185	145	89
186	146	88
187	146	87
188	146	86
189	147	85
190	147	84
191	147	83
192	148	82
193	148	81
194	149	80
195	149	79
196	149	78
197	150	77
198	154	78
199	155	77
200	156	76
201	156	75
202	157	75
203	157	74
204	158	73
205	158	72
206	159	71
207	159	70
208	160	69
209	160	68
210	161	68
211	161	67
212	162	66
213	163	65
214	163	64
215	164	63
216	164	63
217	165	62
218	165	61
219	166	60
220	166	59
221	166	58
222	172	59
223	173	58
224	173	57
225	176	57
226	176	56
227	176	55
228	177	54
229	177	54
230	178	53
231	178	52
232	179	51
233	179	50
234	180	49
235	180	48
236	181	48
237	181	47
238	181	46
239	182	45
240	182	44
241	183	43
242	183	43
243	183	42
244	184	41
245	184	40
246	184	39
247	185	38
248	185	38
249	186	37
250	186	36
251	186	35
252	187	34
253	188	34
254	188	33
255	189	32
256	189	31
257	190	30
258	190	30
259	191	29
260	191	28
261	191	27
262	192	27
263	192	26
264	193	25
265	193	24
266	194	23
267	194	23
268	195	22
269	195	21
270	196	21
271	196	20
272	197	19
273	198	18
274	198	18
275	199	17
276	199	16
277	200	15
278	200	15
279	200	14
280	201	13
281	201	12
282	202	12
283	202	11
284	203	10
285	203	9
286	204	9
287	204	8
288	205	7
289	205	7
290	206	6
291	207	5
292	207	4
293	208	4
294	208	3
295	208	2
296	209	2
297	209	1
298	210	0
299	210	0
